BTPBH,Paro
BAOSM,Osmaci
BAOZM,Ozimica
BAPAL,Pale
BAPER,Perduhovo Selo
BAPSE,Posusje
BAPDR,Prijedor
BAPJR,Prnjavor
BARAJ,Rajlovac
BASMT,Sanski Most
BASJJ,Sarajevo
BASKV,Sekovici
BASIB,Siroki Brijeg
BASIC,Srebrenica
BASRB,Srebrenik
BASOR,Srpsko Orasje
BASJA,Stijena
BASTC,Stolac
BASUH,Suha
BATSJ,Tesanj
BATLC,Teslic
BATIH,Tihaljina
BATOM,Tomislavgrad
BATNK,Travnik
BATBJ,Trebinje
BATZL,Tuzla
BAUJV,Ugljevik
BAVKB,Velika Kladusa
BAVIS,Visoko
BAVIT,Vitez
BAVGS,Vogosca
BAZAV,Zavidovici
BAZCA,Zenica
BAZEP,Zepce
BAZNK,Zvornik
LOCODE,Name
ECATF,Ambato
ECARE,Arenillas
ECATI,Atuntaqui
ECBBA,Baba
ECBYO,Babahoyo
ECBHA,Bahía de Caráquez
ECEBL,Balao
ECBAL,Balzar
ECBAS,Banos
ECBLI,Bartolome Island
ECEQB,Bucay
ECBUF,Buena Fe
ECCAT,Caleta Tagus
ECCNT,Canuto
ECCTM,Catarama
ECCAY,Cayambe
ECCRT,Cerecita
ECCHM,Chambo
ECCHA,Chanduy
ECEQC,Chone
ECCHG,Chongón
ECCLE,Clementina
ECOCC,Coca
ECCMM,Coronel Marcelino Mariduena
ECCTI,Cotacachi
ECCUE,Cuenca
ECCHI,Cumandá
ECCUA,Cumbaya
ECDAL,Daule
ECDUN,Durán
ECELC,El Carmen
ECEMP,El Empalme
ECEGO,El Guabo
ECEQH,El Quinche
ECEQD,El Triunfo
EC,Empalme = Velasco Ibarra
ECESM,Esmeraldas
ECESP,Espanola Island
ECFLO,Floreana Island
ECGPS,Galapagos Islands
ECGUO,Gualaceo
ECGNO,Guano
ECGYE,Guayaquil
ECGUA,Guayas
ECGBB,Guayllabamba
ECHBL,Hacienda Bolivia
ECHGU,Hacienda Guayas
ECHQL,Huaquillas
ECIBA,Ibarra
ECIAR,Isidro Ayora
ECWGL,Isle Baltra
ECJAO,Jaramijó
ECJIP,Jipijapa
ECJQU,Junquillal
ECLAC,La Concordia
ECLJS,La Joya de los Sachas
